"Date Printed: Wednesday, August 29, 2018 10:28:28 AM"
Title: Chlamydia | 2016 | 2015 | 2014 | 2013 | 2012 | 2011 | 2010 | 2009 | 2008 | 2007 | 2006 | 2005 | 2004 | 2003 | 2002 | 2001 | 2000 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | Asian | Black/African American | Hispanic/Latino | White | Both sexes | All age groups

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Chlamydia","2000","Alabama","01","All age groups","Asian","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2000","Alabama","01","All age groups","Black/African American","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2000","Alabama","01","All age groups","Hispanic/Latino","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2000","Alabama","01","All age groups","White","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2014","Alabama","01","All age groups","Asian","Both sexes","63",99.5,"63,297"
"Chlamydia","2014","Alabama","01","All age groups","Black/African American","Both sexes","14,685",1149.8,"1,277,218"
"Chlamydia","2014","Alabama","01","All age groups","Hispanic/Latino","Both sexes","287",144.1,"199,106"
"Chlamydia","2014","Alabama","01","All age groups","White","Both sexes","4,979",155.2,"3,209,009"
"Chlamydia","2002","Alabama","01","All age groups","Asian","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2002","Alabama","01","All age groups","Black/African American","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2002","Alabama","01","All age groups","Hispanic/Latino","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2002","Alabama","01","All age groups","White","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2016","Alabama","01","All age groups","Asian","Both sexes","52",79.1,"65,720"
"Chlamydia","2016","Alabama","01","All age groups","Black/African American","Both sexes","11,644",906,"1,285,257"
"Chlamydia","2016","Alabama","01","All age groups","Hispanic/Latino","Both sexes","302",148.5,"203,325"
"Chlamydia","2016","Alabama","01","All age groups","White","Both sexes","4,248",132.6,"3,204,583"
"Chlamydia","2006","Alabama","01","All age groups","Asian","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2006","Alabama","01","All age groups","Black/African American","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2006","Alabama","01","All age groups","Hispanic/Latino","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2006","Alabama","01","All age groups","White","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2015","Alabama","01","All age groups","Asian","Both sexes","62",94.3,"65,720"
"Chlamydia","2015","Alabama","01","All age groups","Black/African American","Both sexes","13,367",1040,"1,285,257"
"Chlamydia","2015","Alabama","01","All age groups","Hispanic/Latino","Both sexes","261",128.4,"203,325"
"Chlamydia","2015","Alabama","01","All age groups","White","Both sexes","4,764",148.7,"3,204,583"
"Chlamydia","2003","Alabama","01","All age groups","Asian","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2003","Alabama","01","All age groups","Black/African American","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2003","Alabama","01","All age groups","Hispanic/Latino","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2003","Alabama","01","All age groups","White","Both sexes","Data not available","Data not available","NA"
"Chlamydia","2012","Alabama","01","All age groups","Asian","Both sexes","103",175.8,"58,602"
"Chlamydia","2012","Alabama","01","All age groups","Black/African American","Both sexes","15,139",1200.4,"1,261,118"
"Chlamydia","2012","Alabama","01","All age groups","Hispanic/Latino","Both sexes","171",88.7,"192,806"
"Chlamydia","2012","Alabama","01","All age groups","White","Both sexes","4,978",155,"3,210,919"
"Chlamydia","2007","Alabama","01","All age groups","Asian","Both sexes","57",129.1,"44,140"
"Chlamydia","2007","Alabama","01","All age groups","Black/African American","Both sexes","14,553",1199.3,"1,213,497"
"Chlamydia","2007","Alabama","01","All age groups","Hispanic/Latino","Both sexes","317",239.7,"132,238"
