"Date Printed: Wednesday, August 29, 2018 9:07:49 AM"
Title: Primary and Secondary Syphilis | Early Latent Syphilis | Congenital Syphilis | Chlamydia | Gonorrhea | 2016 | 2015 | 2014 | 2013 | 2012 | 2011 | 2010 | 2009 | 2008 | 2007 | 2006 | 2005 | 2004 | 2003 | 2002 | 2001 | 2000 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | All age groups

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Primary and Secondary Syphilis","2000","Alabama","01","All age groups","All races/ethnicities","Both sexes","123",2.8,"4,451,497"
"Primary and Secondary Syphilis","2012","Alabama","01","All age groups","All races/ethnicities","Both sexes","216",4.5,"4,816,089"
"Primary and Secondary Syphilis","2008","Alabama","01","All age groups","All races/ethnicities","Both sexes","449",9.6,"4,673,889"
"Primary and Secondary Syphilis","2013","Alabama","01","All age groups","All races/ethnicities","Both sexes","183",3.8,"4,830,533"
"Primary and Secondary Syphilis","2002","Alabama","01","All age groups","All races/ethnicities","Both sexes","149",3.3,"4,471,462"
"Primary and Secondary Syphilis","2003","Alabama","01","All age groups","All races/ethnicities","Both sexes","114",2.5,"4,489,876"
"Primary and Secondary Syphilis","2001","Alabama","01","All age groups","All races/ethnicities","Both sexes","142",3.2,"4,463,343"
"Primary and Secondary Syphilis","2014","Alabama","01","All age groups","All races/ethnicities","Both sexes","161",3.3,"4,846,411"
"Primary and Secondary Syphilis","2011","Alabama","01","All age groups","All races/ethnicities","Both sexes","228",4.7,"4,801,108"
"Primary and Secondary Syphilis","2009","Alabama","01","All age groups","All races/ethnicities","Both sexes","417",8.9,"4,707,496"
"Primary and Secondary Syphilis","2016","Alabama","01","All age groups","All races/ethnicities","Both sexes","376",7.7,"4,858,979"
"Primary and Secondary Syphilis","2004","Alabama","01","All age groups","All races/ethnicities","Both sexes","165",3.7,"4,510,588"
"Primary and Secondary Syphilis","2006","Alabama","01","All age groups","All races/ethnicities","Both sexes","319",6.9,"4,594,911"
"Primary and Secondary Syphilis","2007","Alabama","01","All age groups","All races/ethnicities","Both sexes","380",8.2,"4,634,063"
"Primary and Secondary Syphilis","2005","Alabama","01","All age groups","All races/ethnicities","Both sexes","169",3.7,"4,542,912"
"Primary and Secondary Syphilis","2015","Alabama","01","All age groups","All races/ethnicities","Both sexes","280",5.8,"4,858,979"
"Primary and Secondary Syphilis","2010","Alabama","01","All age groups","All races/ethnicities","Both sexes","260",5.4,"4,785,161"
"Primary and Secondary Syphilis","2000","Alaska","02","All age groups","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Primary and Secondary Syphilis","2014","Alaska","02","All age groups","All races/ethnicities","Both sexes","15",2,"737,046"
"Primary and Secondary Syphilis","2005","Alaska","02","All age groups","All races/ethnicities","Both sexes","9",1.3,"667,114"
"Primary and Secondary Syphilis","2004","Alaska","02","All age groups","All races/ethnicities","Both sexes","8",1.2,"659,305"
"Primary and Secondary Syphilis","2002","Alaska","02","All age groups","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Primary and Secondary Syphilis","2016","Alaska","02","All age groups","All races/ethnicities","Both sexes","8",1.1,"738,432"
"Primary and Secondary Syphilis","2007","Alaska","02","All age groups","All races/ethnicities","Both sexes","7",1,"679,893"
"Primary and Secondary Syphilis","2009","Alaska","02","All age groups","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Primary and Secondary Syphilis","2012","Alaska","02","All age groups","All races/ethnicities","Both sexes","11",1.5,"731,228"
"Primary and Secondary Syphilis","2006","Alaska","02","All age groups","All races/ethnicities","Both sexes","11",1.6,"675,322"
"Primary and Secondary Syphilis","2003","Alaska","02","All age groups","All races/ethnicities","Both sexes","1",0.2,"647,671"
"Primary and Secondary Syphilis","2010","Alaska","02","All age groups","All races/ethnicities","Both sexes","3",0.4,"714,021"
"Primary and Secondary Syphilis","2011","Alaska","02","All age groups","All races/ethnicities","Both sexes","5",0.7,"722,720"
"Primary and Secondary Syphilis","2001","Alaska","02","All age groups","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Primary and Secondary Syphilis","2013","Alaska","02","All age groups","All races/ethnicities","Both sexes","23",3.1,"737,442"
"Primary and Secondary Syphilis","2008","Alaska","02","All age groups","All races/ethnicities","Both sexes","1",0.1,"685,532"
"Primary and Secondary Syphilis","2015","Alaska","02","All age groups","All races/ethnicities","Both sexes","8",1.1,"738,432"
"Primary and Secondary Syphilis","2003","Arizona","04","All age groups","All races/ethnicities","Both sexes","186",3.3,"5,590,820"
"Primary and Secondary Syphilis","2005","Arizona","04","All age groups","All races/ethnicities","Both sexes","175",2.9,"5,973,970"
"Primary and Secondary Syphilis","2001","Arizona","04","All age groups","All races/ethnicities","Both sexes","180",3.4,"5,303,869"
"Primary and Secondary Syphilis","2004","Arizona","04","All age groups","All races/ethnicities","Both sexes","157",2.7,"5,758,692"
"Primary and Secondary Syphilis","2008","Arizona","04","All age groups","All races/ethnicities","Both sexes","317",4.9,"6,499,207"
"Primary and Secondary Syphilis","2014","Arizona","04","All age groups","All races/ethnicities","Both sexes","577",8.6,"6,728,783"
"Primary and Secondary Syphilis","2000","Arizona","04","All age groups","All races/ethnicities","Both sexes","189",3.7,"5,166,304"
"Primary and Secondary Syphilis","2011","Arizona","04","All age groups","All races/ethnicities","Both sexes","274",4.2,"6,468,732"
"Primary and Secondary Syphilis","2007","Arizona","04","All age groups","All races/ethnicities","Both sexes","296",4.7,"6,360,238"
"Primary and Secondary Syphilis","2012","Arizona","04","All age groups","All races/ethnicities","Both sexes","202",3.1,"6,553,262"
"Primary and Secondary Syphilis","2015","Arizona","04","All age groups","All races/ethnicities","Both sexes","589",8.6,"6,828,065"
"Primary and Secondary Syphilis","2009","Arizona","04","All age groups","All races/ethnicities","Both sexes","231",3.5,"6,587,653"
"Primary and Secondary Syphilis","2010","Arizona","04","All age groups","All races/ethnicities","Both sexes","230",3.6,"6,408,208"
"Primary and Secondary Syphilis","2002","Arizona","04","All age groups","All races/ethnicities","Both sexes","200",3.7,"5,451,472"
"Primary and Secondary Syphilis","2006","Arizona","04","All age groups","All races/ethnicities","Both sexes","203",3.3,"6,190,987"
"Primary and Secondary Syphilis","2013","Arizona","04","All age groups","All races/ethnicities","Both sexes","287",4.3,"6,630,799"
"Primary and Secondary Syphilis","2016","Arizona","04","All age groups","All races/ethnicities","Both sexes","721",10.6,"6,828,065"
"Primary and Secondary Syphilis","2006","Arkansas","05","All age groups","All races/ethnicities","Both sexes","77",2.7,"2,814,910"
"Primary and Secondary Syphilis","2000","Arkansas","05","All age groups","All races/ethnicities","Both sexes","104",3.9,"2,678,115"
"Primary and Secondary Syphilis","2003","Arkansas","05","All age groups","All races/ethnicities","Both sexes","51",1.9,"2,722,804"
"Primary and Secondary Syphilis","2009","Arkansas","05","All age groups","All races/ethnicities","Both sexes","275",9.5,"2,887,331"
"Primary and Secondary Syphilis","2005","Arkansas","05","All age groups","All races/ethnicities","Both sexes","52",1.9,"2,776,257"
"Primary and Secondary Syphilis","2002","Arkansas","05","All age groups","All races/ethnicities","Both sexes","34",1.3,"2,704,471"
"Primary and Secondary Syphilis","2004","Arkansas","05","All age groups","All races/ethnicities","Both sexes","47",1.7,"2,746,215"
"Primary and Secondary Syphilis","2001","Arkansas","05","All age groups","All races/ethnicities","Both sexes","49",1.8,"2,690,743"
"Primary and Secondary Syphilis","2012","Arkansas","05","All age groups","All races/ethnicities","Both sexes","173",5.9,"2,949,499"
"Primary and Secondary Syphilis","2014","Arkansas","05","All age groups","All races/ethnicities","Both sexes","121",4.1,"2,966,835"
"Primary and Secondary Syphilis","2008","Arkansas","05","All age groups","All races/ethnicities","Both sexes","206",7.2,"2,867,099"
"Primary and Secondary Syphilis","2015","Arkansas","05","All age groups","All races/ethnicities","Both sexes","134",4.5,"2,978,204"
"Primary and Secondary Syphilis","2007","Arkansas","05","All age groups","All races/ethnicities","Both sexes","122",4.3,"2,841,595"
"Primary and Secondary Syphilis","2010","Arkansas","05","All age groups","All races/ethnicities","Both sexes","205",7,"2,922,394"
"Primary and Secondary Syphilis","2011","Arkansas","05","All age groups","All races/ethnicities","Both sexes","182",6.2,"2,938,538"
"Primary and Secondary Syphilis","2016","Arkansas","05","All age groups","All races/ethnicities","Both sexes","150",5,"2,978,204"
"Primary and Secondary Syphilis","2006","California","06","All age groups","All races/ethnicities","Both sexes","1,835",5.1,"35,947,461"
"Primary and Secondary Syphilis","2005","California","06","All age groups","All races/ethnicities","Both sexes","1,585",4.4,"35,770,688"
"Primary and Secondary Syphilis","2013","Arkansas","05","All age groups","All races/ethnicities","Both sexes","177",6,"2,957,957"
"Primary and Secondary Syphilis","2013","California","06","All age groups","All races/ethnicities","Both sexes","3,532",9.2,"38,414,128"
"Primary and Secondary Syphilis","2004","California","06","All age groups","All races/ethnicities","Both sexes","1,356",3.8,"35,538,256"
"Primary and Secondary Syphilis","2009","California","06","All age groups","All races/ethnicities","Both sexes","1,900",5.2,"36,887,615"
"Primary and Secondary Syphilis","2011","California","06","All age groups","All races/ethnicities","Both sexes","2,443",6.5,"37,700,034"
"Primary and Secondary Syphilis","2001","California","06","All age groups","All races/ethnicities","Both sexes","545",1.6,"34,481,753"
"Primary and Secondary Syphilis","2003","California","06","All age groups","All races/ethnicities","Both sexes","1,299",3.7,"35,236,589"
"Primary and Secondary Syphilis","2007","California","06","All age groups","All races/ethnicities","Both sexes","2,038",5.6,"36,185,908"
"Primary and Secondary Syphilis","2010","California","06","All age groups","All races/ethnicities","Both sexes","2,065",5.5,"37,334,079"
"Primary and Secondary Syphilis","2012","California","06","All age groups","All races/ethnicities","Both sexes","2,953",7.8,"38,056,055"
"Primary and Secondary Syphilis","2014","California","06","All age groups","All races/ethnicities","Both sexes","3,835",9.9,"38,792,291"
"Primary and Secondary Syphilis","2008","California","06","All age groups","All races/ethnicities","Both sexes","2,204",6,"36,538,008"
"Primary and Secondary Syphilis","2002","California","06","All age groups","All races/ethnicities","Both sexes","1,033",3,"34,867,773"
"Primary and Secondary Syphilis","2015","California","06","All age groups","All races/ethnicities","Both sexes","4,908",12.5,"39,144,818"
"Primary and Secondary Syphilis","2016","California","06","All age groups","All races/ethnicities","Both sexes","5,891",15,"39,144,818"
"Primary and Secondary Syphilis","2000","California","06","All age groups","All races/ethnicities","Both sexes","325",1,"33,994,383"
"Primary and Secondary Syphilis","2000","Colorado","08","All age groups","All races/ethnicities","Both sexes","11",0.3,"4,328,277"
"Primary and Secondary Syphilis","2008","Colorado","08","All age groups","All races/ethnicities","Both sexes","128",2.6,"4,928,676"
"Primary and Secondary Syphilis","2015","Colorado","08","All age groups","All races/ethnicities","Both sexes","245",4.5,"5,456,574"
"Primary and Secondary Syphilis","2003","Colorado","08","All age groups","All races/ethnicities","Both sexes","39",0.9,"4,545,766"
"Primary and Secondary Syphilis","2005","Colorado","08","All age groups","All races/ethnicities","Both sexes","46",1,"4,655,731"
"Primary and Secondary Syphilis","2002","Colorado","08","All age groups","All races/ethnicities","Both sexes","64",1.4,"4,502,883"
"Primary and Secondary Syphilis","2013","Colorado","08","All age groups","All races/ethnicities","Both sexes","163",3.1,"5,271,132"
"Primary and Secondary Syphilis","2016","Colorado","08","All age groups","All races/ethnicities","Both sexes","250",4.6,"5,456,574"
"Primary and Secondary Syphilis","2004","Colorado","08","All age groups","All races/ethnicities","Both sexes","63",1.4,"4,595,674"
"Primary and Secondary Syphilis","2009","Colorado","08","All age groups","All races/ethnicities","Both sexes","105",2.1,"5,015,155"
"Primary and Secondary Syphilis","2011","Colorado","08","All age groups","All races/ethnicities","Both sexes","133",2.6,"5,119,480"
"Primary and Secondary Syphilis","2006","Colorado","08","All age groups","All races/ethnicities","Both sexes","69",1.5,"4,747,872"
"Primary and Secondary Syphilis","2001","Colorado","08","All age groups","All races/ethnicities","Both sexes","23",0.5,"4,432,779"
"Primary and Secondary Syphilis","2007","Colorado","08","All age groups","All races/ethnicities","Both sexes","57",1.2,"4,837,229"
"Primary and Secondary Syphilis","2014","Colorado","08","All age groups","All races/ethnicities","Both sexes","186",3.5,"5,355,588"
"Primary and Secondary Syphilis","2012","Colorado","08","All age groups","All races/ethnicities","Both sexes","208",4,"5,191,731"
"Primary and Secondary Syphilis","2006","Connecticut","09","All age groups","All races/ethnicities","Both sexes","64",1.8,"3,484,531"
"Primary and Secondary Syphilis","2010","Colorado","08","All age groups","All races/ethnicities","Both sexes","138",2.7,"5,048,254"
"Primary and Secondary Syphilis","2004","Connecticut","09","All age groups","All races/ethnicities","Both sexes","45",1.3,"3,474,379"
"Primary and Secondary Syphilis","2003","Connecticut","09","All age groups","All races/ethnicities","Both sexes","30",0.9,"3,468,319"
"Primary and Secondary Syphilis","2001","Connecticut","09","All age groups","All races/ethnicities","Both sexes","12",0.4,"3,428,043"
"Primary and Secondary Syphilis","2005","Connecticut","09","All age groups","All races/ethnicities","Both sexes","58",1.7,"3,477,185"
"Primary and Secondary Syphilis","2016","Connecticut","09","All age groups","All races/ethnicities","Both sexes","110",3.1,"3,590,886"
"Primary and Secondary Syphilis","2000","Connecticut","09","All age groups","All races/ethnicities","Both sexes","16",0.5,"3,411,506"
"Primary and Secondary Syphilis","2008","Connecticut","09","All age groups","All races/ethnicities","Both sexes","34",1,"3,502,664"
"Primary and Secondary Syphilis","2009","Connecticut","09","All age groups","All races/ethnicities","Both sexes","65",1.8,"3,514,826"
"Primary and Secondary Syphilis","2010","Connecticut","09","All age groups","All races/ethnicities","Both sexes","98",2.7,"3,579,717"
"Primary and Secondary Syphilis","2013","Connecticut","09","All age groups","All races/ethnicities","Both sexes","56",1.6,"3,597,168"
"Primary and Secondary Syphilis","2015","Connecticut","09","All age groups","All races/ethnicities","Both sexes","92",2.6,"3,590,886"
"Primary and Secondary Syphilis","2007","Connecticut","09","All age groups","All races/ethnicities","Both sexes","39",1.1,"3,488,084"
"Primary and Secondary Syphilis","2014","Connecticut","09","All age groups","All races/ethnicities","Both sexes","86",2.4,"3,594,762"
"Primary and Secondary Syphilis","2011","Connecticut","09","All age groups","All races/ethnicities","Both sexes","65",1.8,"3,589,759"
"Primary and Secondary Syphilis","2012","Connecticut","09","All age groups","All races/ethnicities","Both sexes","55",1.5,"3,593,541"
"Primary and Secondary Syphilis","2012","Delaware","10","All age groups","All races/ethnicities","Both sexes","38",4.1,"917,099"
"Primary and Secondary Syphilis","2002","Connecticut","09","All age groups","All races/ethnicities","Both sexes","28",0.8,"3,448,145"
"Primary and Secondary Syphilis","2002","Delaware","10","All age groups","All races/ethnicities","Both sexes","11",1.4,"804,636"
"Primary and Secondary Syphilis","2005","Delaware","10","All age groups","All races/ethnicities","Both sexes","11",1.3,"840,296"
"Primary and Secondary Syphilis","2008","Delaware","10","All age groups","All races/ethnicities","Both sexes","16",1.8,"876,794"
"Primary and Secondary Syphilis","2011","Delaware","10","All age groups","All races/ethnicities","Both sexes","27",3,"907,916"
"Primary and Secondary Syphilis","2003","Delaware","10","All age groups","All races/ethnicities","Both sexes","7",0.9,"815,525"
"Primary and Secondary Syphilis","2006","Delaware","10","All age groups","All races/ethnicities","Both sexes","20",2.3,"853,301"
"Primary and Secondary Syphilis","2001","Delaware","10","All age groups","All races/ethnicities","Both sexes","14",1.8,"794,954"
"Primary and Secondary Syphilis","2000","Delaware","10","All age groups","All races/ethnicities","Both sexes","9",1.1,"786,417"
"Primary and Secondary Syphilis","2014","Delaware","10","All age groups","All races/ethnicities","Both sexes","47",5,"935,968"
"Primary and Secondary Syphilis","2015","Delaware","10","All age groups","All races/ethnicities","Both sexes","41",4.3,"945,934"
"Primary and Secondary Syphilis","2016","Delaware","10","All age groups","All races/ethnicities","Both sexes","58",6.1,"945,934"
"Primary and Secondary Syphilis","2013","Delaware","10","All age groups","All races/ethnicities","Both sexes","52",5.6,"925,353"
"Primary and Secondary Syphilis","2007","Delaware","10","All age groups","All races/ethnicities","Both sexes","18",2.1,"865,314"
"Primary and Secondary Syphilis","2009","Delaware","10","All age groups","All races/ethnicities","Both sexes","27",3.1,"884,124"
"Primary and Secondary Syphilis","2010","Delaware","10","All age groups","All races/ethnicities","Both sexes","9",1,"899,791"
"Primary and Secondary Syphilis","2004","Delaware","10","All age groups","All races/ethnicities","Both sexes","9",1.1,"827,154"
"Primary and Secondary Syphilis","2013","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","168",25.9,"649,540"
"Primary and Secondary Syphilis","2010","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","134",22.1,"605,126"
"Primary and Secondary Syphilis","2000","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","37",6.5,"571,776"
"Primary and Secondary Syphilis","2003","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","48",8.3,"577,844"
"Primary and Secondary Syphilis","2005","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","114",19.6,"582,049"
"Primary and Secondary Syphilis","2002","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","58",10,"579,736"
"Primary and Secondary Syphilis","2001","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","43",7.4,"578,228"
"Primary and Secondary Syphilis","2004","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","69",11.9,"579,890"
"Primary and Secondary Syphilis","2012","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","165",26,"635,342"
"Primary and Secondary Syphilis","2006","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","116",19.9,"583,841"
"Primary and Secondary Syphilis","2007","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","178",30.4,"585,916"
"Primary and Secondary Syphilis","2009","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","163",27.2,"599,975"
"Primary and Secondary Syphilis","2011","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","165",26.6,"620,472"
"Primary and Secondary Syphilis","2008","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","146",24.7,"589,929"
"Primary and Secondary Syphilis","2014","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","116",17.6,"659,836"
"Primary and Secondary Syphilis","2015","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","95",14.1,"672,228"
"Primary and Secondary Syphilis","2016","District of Columbia","11","All age groups","All races/ethnicities","Both sexes","161",24,"672,228"
"Primary and Secondary Syphilis","2012","Florida","12","All age groups","All races/ethnicities","Both sexes","1,369",7.1,"19,352,021"
"Primary and Secondary Syphilis","2005","Florida","12","All age groups","All races/ethnicities","Both sexes","724",4.1,"17,773,291"
"Primary and Secondary Syphilis","2003","Florida","12","All age groups","All races/ethnicities","Both sexes","658",3.9,"16,974,177"
"Primary and Secondary Syphilis","2010","Florida","12","All age groups","All races/ethnicities","Both sexes","1,184",6.3,"18,849,890"
"Primary and Secondary Syphilis","2001","Florida","12","All age groups","All races/ethnicities","Both sexes","484",3,"16,350,988"
"Primary and Secondary Syphilis","2008","Florida","12","All age groups","All races/ethnicities","Both sexes","1,044",5.7,"18,410,241"
"Primary and Secondary Syphilis","2000","Florida","12","All age groups","All races/ethnicities","Both sexes","413",2.6,"16,046,148"
"Primary and Secondary Syphilis","2013","Florida","12","All age groups","All races/ethnicities","Both sexes","1,513",7.7,"19,594,467"
"Primary and Secondary Syphilis","2009","Florida","12","All age groups","All races/ethnicities","Both sexes","1,041",5.6,"18,509,936"
"Primary and Secondary Syphilis","2011","Florida","12","All age groups","All races/ethnicities","Both sexes","1,257",6.6,"19,105,533"
"Primary and Secondary Syphilis","2002","Florida","12","All age groups","All races/ethnicities","Both sexes","617",3.7,"16,675,166"
"Primary and Secondary Syphilis","2006","Florida","12","All age groups","All races/ethnicities","Both sexes","719",4,"18,076,361"
"Primary and Secondary Syphilis","2016","Florida","12","All age groups","All races/ethnicities","Both sexes","2,406",11.9,"20,271,272"
"Primary and Secondary Syphilis","2004","Florida","12","All age groups","All races/ethnicities","Both sexes","728",4.2,"17,366,358"
"Primary and Secondary Syphilis","2001","Georgia","13","All age groups","All races/ethnicities","Both sexes","414",4.9,"8,418,687"
"Primary and Secondary Syphilis","2014","Florida","12","All age groups","All races/ethnicities","Both sexes","1,740",8.7,"19,905,569"
"Primary and Secondary Syphilis","2015","Florida","12","All age groups","All races/ethnicities","Both sexes","2,083",10.3,"20,271,272"
"Primary and Secondary Syphilis","2007","Florida","12","All age groups","All races/ethnicities","Both sexes","913",5,"18,262,096"
"Primary and Secondary Syphilis","2011","Georgia","13","All age groups","All races/ethnicities","Both sexes","678",6.9,"9,812,280"
"Primary and Secondary Syphilis","2015","Georgia","13","All age groups","All races/ethnicities","Both sexes","1,413",13.8,"10,214,860"
"Primary and Secondary Syphilis","2007","Georgia","13","All age groups","All races/ethnicities","Both sexes","680",7.1,"9,526,642"
"Primary and Secondary Syphilis","2008","Georgia","13","All age groups","All races/ethnicities","Both sexes","914",9.4,"9,690,277"
"Primary and Secondary Syphilis","2003","Georgia","13","All age groups","All races/ethnicities","Both sexes","585",6.7,"8,727,810"
"Primary and Secondary Syphilis","2014","Georgia","13","All age groups","All races/ethnicities","Both sexes","1,234",12.2,"10,097,132"
"Primary and Secondary Syphilis","2004","Georgia","13","All age groups","All races/ethnicities","Both sexes","549",6.2,"8,907,292"
"Primary and Secondary Syphilis","2002","Georgia","13","All age groups","All races/ethnicities","Both sexes","439",5.1,"8,582,756"
"Primary and Secondary Syphilis","2000","Georgia","13","All age groups","All races/ethnicities","Both sexes","402",4.9,"8,230,306"
"Primary and Secondary Syphilis","2009","Georgia","13","All age groups","All races/ethnicities","Both sexes","953",9.7,"9,813,588"
"Primary and Secondary Syphilis","2010","Georgia","13","All age groups","All races/ethnicities","Both sexes","795",8.2,"9,713,454"
"Primary and Secondary Syphilis","2006","Georgia","13","All age groups","All races/ethnicities","Both sexes","581",6.2,"9,323,575"
"Primary and Secondary Syphilis","2005","Georgia","13","All age groups","All races/ethnicities","Both sexes","645",7.1,"9,090,479"
"Primary and Secondary Syphilis","2013","Georgia","13","All age groups","All races/ethnicities","Both sexes","1,017",10.2,"9,991,562"
"Primary and Secondary Syphilis","2012","Georgia","13","All age groups","All races/ethnicities","Both sexes","937",9.4,"9,917,639"
"Primary and Secondary Syphilis","2016","Georgia","13","All age groups","All races/ethnicities","Both sexes","1,350",13.2,"10,214,860"
"Primary and Secondary Syphilis","2004","Hawaii","15","All age groups","All races/ethnicities","Both sexes","8",0.6,"1,246,872"
"Primary and Secondary Syphilis","2006","Hawaii","15","All age groups","All races/ethnicities","Both sexes","18",1.4,"1,269,228"
"Primary and Secondary Syphilis","2001","Hawaii","15","All age groups","All races/ethnicities","Both sexes","12",1,"1,218,790"
"Primary and Secondary Syphilis","2015","Hawaii","15","All age groups","All races/ethnicities","Both sexes","91",6.4,"1,431,603"
"Primary and Secondary Syphilis","2012","Hawaii","15","All age groups","All races/ethnicities","Both sexes","23",1.7,"1,392,641"
"Primary and Secondary Syphilis","2000","Hawaii","15","All age groups","All races/ethnicities","Both sexes","2",0.2,"1,212,396"
"Primary and Secondary Syphilis","2002","Hawaii","15","All age groups","All races/ethnicities","Both sexes","11",0.9,"1,226,410"
"Primary and Secondary Syphilis","2008","Hawaii","15","All age groups","All races/ethnicities","Both sexes","29",2.3,"1,280,001"
"Primary and Secondary Syphilis","2005","Hawaii","15","All age groups","All races/ethnicities","Both sexes","11",0.9,"1,259,147"
"Primary and Secondary Syphilis","2007","Hawaii","15","All age groups","All races/ethnicities","Both sexes","9",0.7,"1,269,796"
"Primary and Secondary Syphilis","2009","Hawaii","15","All age groups","All races/ethnicities","Both sexes","33",2.6,"1,288,285"
"Primary and Secondary Syphilis","2003","Hawaii","15","All age groups","All races/ethnicities","Both sexes","14",1.1,"1,231,632"
"Primary and Secondary Syphilis","2011","Hawaii","15","All age groups","All races/ethnicities","Both sexes","14",1,"1,378,227"
"Primary and Secondary Syphilis","2014","Hawaii","15","All age groups","All races/ethnicities","Both sexes","68",4.8,"1,420,257"
"Primary and Secondary Syphilis","2016","Hawaii","15","All age groups","All races/ethnicities","Both sexes","112",7.8,"1,431,603"
