"Date Printed: Wednesday, August 29, 2018 11:11:24 AM"
Title: Primary and Secondary Syphilis | Chlamydia | Gonorrhea | 2016 | 2015 | 2014 | 2013 | 2012 | 2011 | 2010 | 2009 | 2008 | 2007 | 2006 | 2005 | 2004 | 2003 | 2002 | 2001 | 2000 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Male | Female | All age groups

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Primary and Secondary Syphilis","2000","Alabama","01","All age groups","All races/ethnicities","Male","60",2.8,"2,148,964"
"Primary and Secondary Syphilis","2006","Alabama","01","All age groups","All races/ethnicities","Female","116",4.9,"2,368,844"
"Primary and Secondary Syphilis","2005","Alabama","01","All age groups","All races/ethnicities","Female","69",2.9,"2,342,920"
"Primary and Secondary Syphilis","2014","Alabama","01","All age groups","All races/ethnicities","Male","144",6.1,"2,348,049"
"Primary and Secondary Syphilis","2016","Alabama","01","All age groups","All races/ethnicities","Male","296",12.6,"2,353,184"
"Primary and Secondary Syphilis","2002","Alabama","01","All age groups","All races/ethnicities","Male","86",4,"2,161,967"
"Primary and Secondary Syphilis","2003","Alabama","01","All age groups","All races/ethnicities","Female","49",2.1,"2,316,633"
"Primary and Secondary Syphilis","2001","Alabama","01","All age groups","All races/ethnicities","Male","75",3.5,"2,156,331"
"Primary and Secondary Syphilis","2008","Alabama","01","All age groups","All races/ethnicities","Female","171",7.1,"2,408,693"
"Primary and Secondary Syphilis","2014","Alabama","01","All age groups","All races/ethnicities","Female","17",0.7,"2,498,362"
"Primary and Secondary Syphilis","2003","Alabama","01","All age groups","All races/ethnicities","Male","65",3,"2,173,243"
"Primary and Secondary Syphilis","2004","Alabama","01","All age groups","All races/ethnicities","Female","52",2.2,"2,327,652"
"Primary and Secondary Syphilis","2005","Alabama","01","All age groups","All races/ethnicities","Male","100",4.5,"2,199,992"
"Primary and Secondary Syphilis","2009","Alabama","01","All age groups","All races/ethnicities","Male","280",12.3,"2,283,252"
"Primary and Secondary Syphilis","2009","Alabama","01","All age groups","All races/ethnicities","Female","137",5.7,"2,424,244"
"Primary and Secondary Syphilis","2011","Alabama","01","All age groups","All races/ethnicities","Male","174",7.5,"2,328,578"
"Primary and Secondary Syphilis","2012","Alabama","01","All age groups","All races/ethnicities","Male","178",7.6,"2,335,284"
